Samples,Amplitude(mV)
1650,0.235254
1651,0.241699
1652,0.248145
1653,0.248145
1654,0.251367
1655,0.25459
1656,0.257812
1657,0.25459
1658,0.261035
1659,0.261035
1660,0.261035
1661,0.261035
1662,0.261035
1663,0.261035
1664,0.261035
1665,0.264258
1666,0.26748
1667,0.26748
1668,0.26748
1669,0.26748
1670,0.26748
1671,0.270703
1672,0.270703
1673,0.270703
1674,0.270703
1675,0.26748
1676,0.26748
1677,0.26748
1678,0.270703
1679,0.270703
1680,0.270703
1681,0.270703
1682,0.270703
1683,0.270703
1684,0.26748
1685,0.270703
1686,0.270703
1687,0.26748
1688,0.264258
1689,0.264258
1690,0.261035
1691,0.257812
1692,0.257812
1693,0.257812
1694,0.25459
1695,0.25459
1696,0.251367
1697,0.251367
1698,0.248145
1699,0.244922
1700,0.244922
1701,0.244922
1702,0.241699
1703,0.235254
1704,0.235254
1705,0.238477
1706,0.235254
1707,0.232031
1708,0.232031
1709,0.232031
1710,0.232031
1711,0.225586
1712,0.228809
1713,0.225586
1714,0.228809
1715,0.228809
1716,0.225586
1717,0.225586
1718,0.232031
1719,0.232031
1720,0.228809
1721,0.228809
1722,0.225586
1723,0.228809
1724,0.228809
1725,0.228809
1726,0.225586
1727,0.225586
1728,0.225586
1729,0.222363
1730,0.222363
1731,0.222363
1732,0.222363
1733,0.225586
1734,0.225586
1735,0.222363
1736,0.219141
1737,0.219141
1738,0.219141
1739,0.212695
1740,0.212695
1741,0.212695
1742,0.215918
1743,0.215918
1744,0.215918
1745,0.212695
1746,0.209473
1747,0.212695
1748,0.209473
1749,0.209473
1750,0.209473
1751,0.209473
1752,0.203027
1753,0.199805
1754,0.196582
1755,0.199805
1756,0.199805
1757,0.196582
1758,0.196582
1759,0.193359
1760,0.193359
1761,0.193359
1762,0.193359
1763,0.190137
1764,0.190137
1765,0.186914
1766,0.186914
1767,0.183691
1768,0.177246
1769,0.174023
1770,0.170801
1771,0.170801
1772,0.170801
1773,0.170801
1774,0.164355
1775,0.167578
1776,0.164355
1777,0.164355
1778,0.15791
1779,0.15791
1780,0.15791
1781,0.154687
1782,0.151465
1783,0.151465
1784,0.148242
1785,0.14502
1786,0.148242
1787,0.14502
1788,0.141797
1789,0.141797
1790,0.138574
1791,0.141797
1792,0.138574
1793,0.138574
1794,0.135352
1795,0.135352
1796,0.132129
1797,0.132129
1798,0.132129
1799,0.125684
1800,0.125684
1801,0.119238
1802,0.119238
1803,0.116016
1804,0.112793
1805,0.112793
1806,0.112793
1807,0.112793
1808,0.106348
1809,0.112793
1810,0.10957
1811,0.10957
1812,0.106348
1813,0.106348
1814,0.10957
1815,0.112793
1816,0.119238
1817,0.122461
1818,0.132129
1819,0.141797
1820,0.151465
1821,0.15791
1822,0.167578
1823,0.177246
1824,0.183691
1825,0.186914
1826,0.196582
1827,0.20625
1828,0.212695
1829,0.222363
1830,0.225586
